Tiempo,Profundidad,Temperatura,pH,DO_SAT,DO,Blue,Chl
,-55.963,236.454,7.0888,936.905,794.005,406.692,196.959
,-554.676,235.798,715.916,nan,798.193,655.094,104.968
,-556.657,235.155,713.644,941.707,800.027,582.115,1.0661
,-553.685,234.672,715.997,941.594,800.658,610.153,958.824
,-555.666,23.413,7.1656,94.563,804.912,582.845,973.463
,-550.712,233.954,718.282,937.893,798.591,488.043,105.604
,-560.621,233.494,710.923,942.764,803.436,717.734,105.754
,-555.666,232.947,7.1034,942.445,803.992,602.961,120.044
,-554.676,232.443,717.491,943.808,805.923,609.445,109.222
,-556.657,231.857,nan,940.346,803.856,607.196,975.011
,-55.963,231.463,7.1468,947.327,810.428,6.1258,103.731
,-561.612,231.229,719.955,943.863,807.822,788.302,109.558
,-558.639,230.733,723.516,936.658,802.408,737.662,107.941
,-560.621,230.325,724.084,nan,807.912,636.615,nan
,-552.694,229.431,725.847,940.003,807.265,5.3796,105.657
,-555.666,229.207,7.2616,938.291,806.138,534.425,107.596
,-562.603,228.616,723.553,936.357,8.0538,645.044,107.885
,-556.657,228.307,726.765,nan,811.476,725.409,115.933
,-554.676,227.897,726.567,943.392,812.541,862.925,110.059
,-552.694,227.817,727.239,nan,811.065,635.016,980.803
,-553.685,227.578,725.569,941.433,811.346,723.988,109.395
,-557.648,227.179,7.2245,940.104,810.817,811.167,110.827
,-554.676,22.69,7.2671,943.077,813.813,634.296,115.083
,-55.963,226.807,720.376,93.835,809.877,735.866,108.226
,-550.712,226.767,719.852,94.089,812.131,712.925,102.326
,-562.603,226.578,721.871,nan,812.185,690.455,114.873
,-555.666,226.377,721.972,939.557,811.585,6.7348,1.0687
,-560.621,226.351,718.745,938.824,810.992,705.714,108.745
,-562.603,226.072,7.2,944.677,816.588,629.099,110.895
,-560.621,225.789,721.033,93.885,811.445,738.481,108.404
,nan,225.804,722.104,nan,811.272,598.099,108.678
,-55.963,225.674,719.685,940.175,813.208,624.565,111.587
,-554.676,225.606,717.464,941.129,814.139,579.091,107.297
,-558.639,225.481,718.184,936.469,nan,614.659,111.451
,-55.963,22.542,716.232,942.397,815.525,531.996,1.1727
,-566.567,22.534,717.886,939.836,813.434,7.2779,115.541
,-556.657,22.533,719.617,939.958,813.554,285.028,182.751
,-557.648,225.285,717.924,940.285,813.907,690.583,122.717
,-563.594,225.092,718.152,936.353,810.802,692.886,132.735
,nan,224.971,717.582,941.134,815.131,672.174,126.667
,-562.603,224.943,718.061,93.871,813.075,670.763,121.466
,-564.585,224.844,724.723,936.932,811.688,755.378,119.888
,-557.648,224.853,723.023,939.997,8.1433,692.538,129.908
,-556.657,224.863,720.965,941.559,815.668,5.8541,128.782
,-561.612,224.974,720.806,939.227,813.542,712.522,125.412
,-565.576,225.033,7.1879,938.443,812.795,620.087,110.345
,nan,225.151,714.882,nan,813.225,646.319,120.359
,-563.594,225.021,718.922,937.199,811.646,725.126,111.159
,-56.954,225.055,713.698,938.929,813.091,702.665,1.1859
,-561.612,22.496,716.634,937.222,811.759,600.591,112.626
,-561.612,224.888,716.675,936.599,811.332,532.396,104.405
,-560.621,22.497,720.307,938.434,812.795,796.595,124.244
,-561.612,224.853,713.852,93.802,812.617,673.868,114.973
,-564.585,224.736,711.649,936.251,811.266,671.965,107.691
,-561.612,22.477,713.097,93.68,811.689,562.157,113.444
,-563.594,224.657,712.912,93.937,814.092,549.156,1.1521
,-55.963,224.556,713.881,934.467,809.999,7.0757,119.745
,-564.585,224.634,716.708,937.376,812.399,6.6859,109.152
,-55.963,224.645,714.037,931.543,807.328,629.428,117.446
,-562.603,224.581,710.512,942.379,816.818,6.2088,120.856
,-566.567,224.575,713.472,934.928,8.1037,788.079,1.2683
,-55.963,224.624,717.118,93.314,808.743,601.269,114.733
,-55.963,224.693,710.504,938.818,813.558,702.558,127.372
,-562.603,224.684,720.713,941.404,815.813,591.003,125.703
,-561.612,224.686,7.1466,939.391,814.065,6.4028,130.752
,-564.585,224.724,712.868,941.532,815.698,595.619,129.008
,-562.603,224.724,712.868,937.772,812.603,677.335,124.087
,-561.612,224.872,717.025,934.538,809.571,668.003,121.784
,-565.576,224.841,715.067,939.412,813.841,680.473,124.899
,-564.585,22.499,707.618,937.932,812.329,277.975,100.022
,-564.585,224.874,707.481,939.284,813.681,397.673,183.254
